Date,Name,Start,End,Duration,Latitude,Longitude,Category,Link
17/02/01,Place in Yashio-shi,2017-02-01T00:00:00+09:00,2017-02-01T18:07:06+09:00,65226,35.807511,139.83432,,
17/02/01,Place in Yashio-shi,2017-02-01T23:38:08+09:00,2017-02-02T00:00:00+09:00,1312,35.807511,139.83432,,
